Cliente	Documento	Email	Fone	Cidade	Bairro
OMDS Tecnologia e Educaçao Ltda. SG	07.392.268/0001-65	escritorio.ozuardo@hotmail.com	3436711500	São Gotardo	Centro
Oliveira e Barbosa Supermercado  Ltda SG	27.670.255/0001-18	supermercadoliberdadesg@hotmail.com	3436152949	São Gotardo	Liberdade
Otica Sao Gotardo Ltda.SG	04.304.482/0002-05	oticasaosebastiao@yahoo.com.br	3491512016	São Gotardo	Centro
Outono´s Enxovais	18.968.151/0001-01	apetrechoenxovias@yahoo.com.br	34988418710	São Gotardo	Centro
Padap Agronegocios Ltda	06.311.673/0001-49	financeiro@padapagronegocios.com.br	3436714130	São Gotardo	Jardim das Flores
Padap Concreto	09.325.938/0001-56	padapconcretos@gmail.com	34999031065	São Gotardo	Agrovila
Papelaria Abc GF	10.877.714/0001-36	pedro@papelariaabc.net.br	3436716720	São Gotardo	Guarda dos Ferreiros
Paulo Roberto Marques & Cia Ltda	05.111.345/0001-36	motortec.sg@gmail.com	3436716472	São Gotardo	Guarda dos Ferreira
Pavão Transportes LTDA-ME	26.917.687/0001-18	pavaotransportes@hotmail.com	3436713381	São Gotardo	Zona Rural
Pedro Pivot Mais GF	27.491.540/0001-71	pedrinho.pivot@hotmail.com	34988712693	São Gotardo	Guarda dos Ferreiros
Pedro Sadd Barber Club	30.398.319/0001-88	pedrosaddbarberclub@hotmail.com	34998141865	São Gotardo	Centro
Pematra LTDA	00.662.176/0001-09	financeiro.pematra@gmail.com	3436711510	São Gotardo	Santa Terezinha
Pereira Alimentos Ind.e Com.ltda SG	03.237.019/0001-44	pereira.alimentos@hotmail.com	3488560200	São Gotardo	Centro
Perfect Car Centro de Estetica Automotiva LDTA	31.739.668/0001-89	denisa@jjg.com.br	34999056275	São Gotardo	Jardim Ana Paula
Pivocer Manutenção de Irrigação LTDA	17.035.369/0001-32	pivocer@yahoo.com.br	34999057516	São Gotardo	Guarda dos Ferreiros
Pivocer Manutenção de Irrigação Ltda GF	17.035.369/0001-32	pivocer@yahoo.com.br	3499057516	São Gotardo	Guarda dos Ferreiros
Pivotec SG Comèrcio Eireli -ME	21.576.936/0001-35	financeiro@pivotecirrigacao.com.br	3436716164	São Gotardo	Zona Rural
Pivotec SG Comércio Eireli - ME	21.576.936/0001-35	financeiro@pivotecirrigacao.com.br	3436716164	São Gotardo	Zona Rural
Positivo Imoveis Ltda ME (CLIENTE CANCELOU)	21.112.886/0001-35	positivoimoveis@hotmail.com	3436718200	São Gotardo	Centro
Posto Sousa e Sliva Ltda	03.012.206/0001-20	postosousaesilva@gmail.com	34999130565	São Gotardo	Nossa Senhora de Fátima
Postos Alpa Ltda	02.234.943/0002-95	caio@postosalpa.com.br	3436711293	São Gotardo	São Geraldo
Prado e Rocha representaçoes LTDA SG	12.432.854/0001-26	teste@teste.com.br	3491083108	São Gotardo	Sol Nascente
Prefeitura Municipal de Rio Paranaíba GF	18.602.045/0001-00	controleinternorp@outlook.com	3438551223	São Gotardo	Guarda dos Ferreira
Prefeitura Municipal de Sao Gotardo MG	18.602.037/0001-55	teste@teste.com.br	3436717156	São Gotardo	Centro
Premoldados Mapro Ltda SG	10.751.837/0001-26	patriciafreitasg@yahoo.com.br	3436712910	São Gotardo	Setor Industrial
Primeira Igreja Batista em São Gotardo	20.058.343/0001-14	suene_teodoro@hotmail.com	34998184844	São Gotardo	Centro
Priscianny Araujo Santos Trevizani ME	27.788.941/0001-98	cristiani.arq2015@gmail.com	34999551902	São Gotardo	Centro
Procampo	28.173.790/0001-26	marceloprocampo@outlook.com	34999095661	São Gotardo	Agrovila
Projeta Serviços Agricolas LTDA	24.144.444/0001-69	projetaagr@gmail.com	34998131660	São Gotardo	Jardim Ana Paula
R3 AGRONEGOCIOS EIRELI	20.354.986/0001-05	juliana@r3agronegocios.com.br	34988554266	São Gotardo	Santa Terezinha
RM EPI Ltda	20.523.634/0001-36	contatormepi@gmail.com	34999894659	São Gotardo	Guarda dos Ferreiros
RM EPI Ltda SG / GF	20.523.634/0001-36	contatormepi@gmail.com	3436716196	São Gotardo	Agrovila
Rapi Pizza Rapidas Ltda	21.040.996/0001-39	ledugo@yahoo.com.b	3436714840	São Gotardo	Centro
Rações Goleite Industria e Comércio Ltda	07.437.697/0001-01	racoesgoleite@gmail.com	3436711318	São Gotardo	São Geraldo
Rações RGL Industria e Comercio Ltda SG	10.278.368/0001-70	leticia.mota@geraleite.com.br	3436713314	São Gotardo	Micro Distrito Industrial, Wilson Pedroso
Rações São Gotardo Industria e Comercio Ltda sg	05.606.567/0001-20	mfranco@racoessaogotardo.com.br	3491136458	São Gotardo	Micro Distrito Industrial, Wilson Pedroso
Realdrogas LTDA	21.136.551/0001-57	realdrogasltda@yahoo.com.br	3436712040	São Gotardo	Centro
Realtecnology Sistemas de Informática Ltda - ME	04.248.801/0001-21	psilva@realtec.com.br	3436712394	São Gotardo	Nossa Senhora de Fátima
Regional Parafusos LTDA ME	42.914.275/0002-61	administrativosg@regionalparafusos.com.br	3436716585	São Gotardo	Guarda dos Ferreiros
Regional Parafusos Ltda ME GF	42.914.275/0002-61	regionalfilial@hotmail.com	3400000000	São Gotardo	Zona Rural
Regional Partido Da Repulblica.SG	12.278.084/0001-09	fiscal.partidodarepublica@bol.com.br	3488206205	São Gotardo	Centro
Restaurante Cozinha da Terra Ltda.	17.837.469/0002-63	cozinhadaterra12@hotmail.com	3499544016	São Gotardo	Zona Rural
Revitaliza Assessoria Ltda. SG	22.948.273/0001-03	revitaliza.ambiental@uol.com.br	34991977737	São Gotardo	Terreo
Risomar Souza Soares & Cia LTDA - EPP	09.139.938/0001-61	supermercadosoaressg@hotmail.com	34999300374	São Gotardo	Boa Esperança
Rodohorti Transportes LTDA	28.368.053/0001-89	rodohortitransportes@hotmail.com	34999540332	São Gotardo	Guarda dos Ferreiros
Ronaldo Rosa de Melo - ME SG	27.933.689/0001-63	ronaldo@coopadap.com.br	34999890165	São Gotardo	Centro
Roselene Santos Herleo 10256612650	32.241.760/0001-87	rosy2015sh@gmail.com	34999172492	São Gotardo	Guarda dos Ferreiros
Rpx Tech Monitoramento Ltda	32.968.529/0001-90	ricardo@clickcomp.com.br	37991636263	São Gotardo	Zona Rural
SA Boutique Ltda - ME	02.675.482/0001-05	dadakelle@yahoo.com.br	34999891587	São Gotardo	Centro
SOS Auto Peças e Serviços	11.232.728/0001-65	sos.autopecas@yahoo.com.br	34988711492	São Gotardo	Jardim Ana Paula
SOS Peças e Serviços Agricola LTDA	12.460.569/0001-19	sosfaturamento02@hotmail.com	34999899094	São Gotardo	Zona Rural
SOS Peças e Serviços Agricolas LTDA	12.460.569/0001-19	daiane.sos@hotmail.com	34999899094	São Gotardo	Zona Rural
Sagagel Industria e Comer Impor e Expor LTDA	03.478.652/0001-24	adm.sagagel@gmail.com	3436716748	São Gotardo	Agrovila
Salles Quirino Engenharia Ltda	31.339.742/0001-70	fortplan2@gmail.com	34999101919	São Gotardo	Nossa Senhora de Fátima
Santa Barbara Construções S/A	39.809.199/0001-39	renato.sousa@santabarbarasa.com.br	31993111699	São Gotardo	Vila Luciana
Sebastiao Igor Lima e Cia LTDA	13.945.132/0001-38	financeiro.novatec@yahoo.com.br	3436714818	São Gotardo	Guarda dos Ferreiros
Selv Serviços Especializados e Linha Viva SG	02.724.613/0001-05	nfe@selv.com.br	3132695000	São Gotardo	Jardim das Flores
Senhorita's	33.662.059/0001-02	senhoritas.sg@gmail.com	34999267035	São Gotardo	Nossa Senhora de Fátima
Sentinella Comercio e Serviços em Tecnologias LTDA	33.878.639/0001-23	financeiro@sentinella.com.br	34998053701	São Gotardo	São Vicente
Sg Telefonia	10.822.045/0001-03	teste@teste.com.br	34000000000	São Gotardo	São Vicente
Shater Consultoria e Representaçoes	31.692.912/0001-03	thiago@celcia.com.br	34999119810	São Gotardo	Serra Negra
Silva e Silva Estruturas Ltda - ME	26.283.083/0001-67	silvaesilva45@outlook.com	34999520758	São Gotardo	Guarda dos Ferreiros
Sindicato dos Trabalhadores Rurais de São Gotardo	04.304.295/0001-40	sindicatodostrabalhadoressg@hotmail.com	34999586551	São Gotardo	Centro
Sinhaninhas Boutique Ltda SG	24.687.238/0001-03	sinhaninhas@yahoo.com.br	3436711349	São Gotardo	Centro
Sociedade Clube Fazenda	01.459.992/0001-82	clube.eldorado@outlook.com	34999047239	São Gotardo	Guarda dos Ferreiros
Sociedade Comercial Santana Ltda ME (OS SOMENTE SE SOLICITADO POR ROBSON OLIVEIRA )	05.347.811/0013-10	walquiria@uaimagazine.com	37988353139	São Gotardo	Centro
Sousa e Oliveira Lanchonete e Sorveteria LTDA	30.698.958/0001-69	wanderjr.88@hotmail.com	34996658435	São Gotardo	Centro
Sousa e Sousa Serviços LTDA SG	10.832.667/0001-04	graficatriangulo@bol.com.br	3436713023	São Gotardo	Centro
Souza e Franklin Eldorado LTDA	18.672.680/0001-55	guardadosferreiros@hotmail.com	34999191686	São Gotardo	Guarda dos Ferreiros
Super Box.SG	13.197.334/0001-49	superbox_saogotardo@hotmail.com	3492217004	São Gotardo	Tancredo Neves
Supermecado Requinte	10.966.831/0001-76	teste@teste.com.br	34000000000	São Gotardo	Centro
Supermercado Camargos	18.445.450/0001-53	supermercadoalvescamargos@hotmail.com	34999119637	São Gotardo	Guarda dos Ferreiros
Supermercado Camargos GF	18.445.450/0001-53	teste@teste.com.br	34999119637	São Gotardo	Guarda dos Ferreiros
Supermercado Dalila Ltda	42.805.804/0001-08	mvs.araujo@gmail.com	34991067549	São Gotardo	Nossa Senhora de Fátima
Supermercado Girassol	24.795.609/0001-62	carlitonascimento328@gmail.com	34999521835	São Gotardo	Guarda dos Ferreiros
Supermercado Gominas Ltda SG	10.871.760/0001-28	supergominas@gmail.com	3436712627	São Gotardo	Sol Nascente
Supermercado Popular GF	10.645.203/0001-99	jeniferpiscila123@hotmail.com	34999093087	São Gotardo	Guarda dos Ferreiros
Supermercado Popular GF	10.645.203/0001-99	supermercadomjltda@gmail.com	34999093087	São Gotardo	Guarda dos Ferreiros
Supermercado São Vicente Ltda	00.679.751/0001-86	supersaovicente@yahoo.com.br	34988033938	São Gotardo	São Vicente
TDG Construtora SG	18.510.302/0001-75	teste@teste.com.br	3492559225	São Gotardo	São Vicente
TR Tecnologia Ltda	25.376.177/0001-18	financeiro@treicon.com	3436711019	São Gotardo	Nossa Senhora de Fátima
Tectrans Transmissão de Energia LTDA.	09.461.052/0001-30	igorchinelo@hotmail.com	3492006788	São Gotardo	Sol Nascente
Teto e Teto Construtora e Incorporadora Eirele	15.623.159/0001-30	tetoetetoconstrutorasg@gmail.com	34999031065	São Gotardo	São Vicente
Thiago Costa Soares CPF 09321346619	22.226.416/0001-65	Sem EMAIL	34999690742	São Gotardo	São Vicente
Tiago Antonio Vargas .SG                                 (Vidral Box)	08.471.010/0001-17	teste@teste.com.br	34000000000	São Gotardo	São Geraldo
Tintas Casa Nova Industria e Comercio LTDA - SG (SERASA)	15.567.408/0001-17	tcnindustria@yahoo.com.br	34998424491	São Gotardo	Geraldo Marques
Topcred Serviços Financeiros LTDA	29.341.996/0001-80	llesaogotardo@llecontabilidade.com.br	3436717363	São Gotardo	Centro
Torneamento Goiano Ltda SG	02.753.023/0001-00	torneamentogoiano@hotmail.com	34999887445	São Gotardo	Zona Rural
Torneamento Nunes	11.715.532/0001-21	torneamentoreformasnunes@gmail.com	34999192352	São Gotardo	Guarda dos Ferreiros
Torneamento SG Peças e Serviços Ltda	12.160.457/0001-42	torneamentosg@hotmail.com	34999100563	São Gotardo	Guarda dos Ferreiros
Torneamento SG Peças e Serviços Ltda GF	12.160.457/0001-42	torneamentosg@hotmail.com	3436716101	São Gotardo	Zona Rural / Guarda dos Ferreiros
Toshiba Infraestrutura America do Sul LTDA	08.870.769/0005-04	teste@teste.com.br	34000000000	São Gotardo	Centro
Transportadora BR LTDA - ME	14.444.912/0001-67	transportadorabr@hotmail.com	3436713876	São Gotardo	São Vicente
Transportadora Levani Ltda	32.854.006/0001-12	transportadoralevani@outlook.com	34998267262	São Gotardo	São Vicente
Transportadora SG Ltda SG	02.494.510/0001-98	transportadorasg@hotmail.com	34999891489	São Gotardo	Santa Terezinha
Uliminas Hortigranjeiros Ltda - ME	14.849.845/0001-60	uliminas@hotmail.com	3491926988	São Gotardo	Guarda dos Ferreiros
Us Kara SG	24.897.436/0001-93	teste@teste.com.br	34998217053	São Gotardo	Nossa Senhora de Fátima
V & G Certificação Digital LTDA	21.612.003/0001-56	michele.silva@vegcertificado.com.br	34991139516	São Gotardo	Alto Bela Vista
VW Distribuidora de Alimentos LTDA - ME	24.990.853/0001-86	vwdistribuidora@yahoo.com.br	34998044506	São Gotardo	Santa Terezinha
Valoriza Agronegócios Ltda Sg	24.006.876/0003-75	izabel@valoriza.net	3400000000	São Gotardo	Zona Rural
Verde Fertilizantes	08.000.607/0002-64	em@verdeagritech.com	3436741691	São Gotardo	Zona Rural
Verde Transportes Eireli	05.664.897/0001-71	verdebr@hotmail.com	34992088064	São Gotardo	Jardim Ana Paula
Victor Daniel de Vasconcelos Bulkbrindes	28.716.530/0001-50	bulkbrindes@gmail.com	3436711418	São Gotardo	São Vicente
Vision Engenharia e Consultoria S.A.	05.537.083/0001-76	geraldo.batista@visionsistemas.com.br	3132156200	São Gotardo	Boa Vista
Vitor Angelo Rodrigues Costa	30.503.902/0001-01	barautobier@gmail.com	31971518286	São Gotardo	Centro
W M Vieira ME	24.301.730/0001-90	financeiro.doceshem@gmail.com	34998313633	São Gotardo	Abaeté dos Venâncios
Waldemario De Souza França Filho SG	18.108.530/0001-13	eletrofrancasg@hotmail.com	3488089633	São Gotardo	São Vicente
Gabriel Morais Simoes - ME	09.042.131/0001-06	teste@teste.com.br	34313858579	São José do Goiabal	Centro
Gabriel Morais Simoes-ME (Tropicalnet)	09.042.131/0001-06	manoel@tropicalnet.com.br	3491088498	São José do Goiabal	Centro
Alcance Engenharia e Construção Ltda RP	20.501.854/0001-69	murilonajar@construtoraalcance.com.br	33988082616	Teófilo Otoni	Grão Pará
Goldnet Serviços de Internet Ltda	09.193.011/0001-00	silviasouzamarques@hotmail.com	3436712878	Tiros	Centro
3G LOG transportes Ltda Sg	15.292.743/0001-50	financeiro@3glog.com.br	3432327181	Uberlândia	Marta Helena
Distribuidora de Eletronicos Route 66 Ltda	01.455.957/0007-80	Sem EMAIL	3421026666	Uberlândia	Daniel Fonseca
LT Triangulo	07.272.615/0002-05	administracao.celeo@celeoredes.com	3491388197	Uberlândia	Distrito Industrial
